,robust_w_stock,robust_w_bond,robust_w_bill,Dates
77,0.819023891903898,0.13091014287478353,0.05006596522180632,1997-08-29
78,0.8192421935640961,0.1305313631208756,0.05022644331499453,1997-09-30
79,0.8192932995077956,0.13065305162424043,0.05005364886823129,1997-10-31
80,0.8192655506522771,0.13066557186696243,0.050068877480782537,1997-11-28
81,0.8188520264296341,0.13111210445813815,0.05003586911219618,1997-12-31
82,0.81785281979574,0.13214576601779227,0.05000141418645901,1998-01-30
83,0.8188747334577203,0.13108269942305045,0.050042567119095806,1998-02-27
84,0.8189228311652147,0.131076646313723,0.05000052252258992,1998-03-31
85,0.8189490608775082,0.1310268837602932,0.05002405536224551,1998-04-30
86,0.8187011190445639,0.12921635745491833,0.05208252350053034,1998-05-29
87,0.8184357798059371,0.13156175860477073,0.050002461599543094,1998-06-30
