,w_stock,w_bond,w_bill,Dates
77,0.8191786762552061,0.13079966925307368,0.05002165449177339,1997-08-29
78,0.8190144077363184,0.13091574728513725,0.050069844977905904,1997-09-30
79,0.8184463826062244,0.13155018974479207,0.05000342764898759,1997-10-31
80,0.819212858076956,0.13052424901796678,0.05026289290507712,1997-11-28
81,0.8191823001697373,0.1305959526548977,0.05022174717541431,1997-12-31
82,0.8190313679880638,0.13093758497742103,0.050031047034659645,1998-01-30
83,0.8180538378608413,0.1319460918085256,0.05000007033066695,1998-02-27
84,0.8188638444169292,0.13113263379813744,0.05000352178517359,1998-03-31
85,0.8189064322073587,0.13109312763435027,0.05000044016173398,1998-04-30
86,0.8189364826195967,0.13105469523151503,0.050008822148899595,1998-05-29
87,0.8188574377790881,0.12987640656118637,0.051266155659681414,1998-06-30
